checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,credit_risk,cluster
0<=X<200,24,existing paid,furniture/equipment,4351,no known savings,1<=X<4,1,female div/dep/mar,none,4,life insurance,47.68939832889048,none,own,1,unskilled resident,1,yes,yes,good,1
0<=X<200,48,no credits/all paid,business,12204,no known savings,1<=X<4,2,female div/dep/mar,none,2,car,47.68939832889048,bank,own,1,unskilled resident,1,yes,yes,good,1
0<=X<200,12,critical/other existing credit,new car,958,<100,4<=X<7,2,female div/dep/mar,none,3,real estate,47.68939832889048,none,own,2,unskilled resident,2,none,yes,good,1
<0,12,no credits/all paid,new car,1082,<100,1<=X<4,4,female div/dep/mar,none,4,car,47.68939832889048,bank,own,2,unskilled resident,1,none,yes,bad,1
no checking,9,critical/other existing credit,new car,2134,<100,1<=X<4,4,female div/dep/mar,none,4,car,47.68939832889048,none,own,3,unskilled resident,1,yes,yes,good,1
<0,18,existing paid,domestic appliance,1217,<100,1<=X<4,4,female div/dep/mar,none,3,real estate,47.68939832889048,none,own,1,unskilled resident,1,yes,yes,bad,1
>=200,24,existing paid,radio/tv,1377,100<=X<500,>=7,4,female div/dep/mar,none,2,no known property,47.68939832889048,none,for free,1,unskilled resident,1,yes,yes,good,1
no checking,15,critical/other existing credit,radio/tv,1316,500<=X<1000,1<=X<4,2,female div/dep/mar,none,2,life insurance,47.68939832889048,none,own,2,unskilled resident,1,none,yes,good,1
>=200,10,existing paid,new car,1240,100<=X<500,>=7,1,female div/dep/mar,none,4,no known property,47.68939832889048,none,for free,1,unskilled resident,2,none,yes,bad,1
0<=X<200,21,delayed previously,new car,2353,<100,1<=X<4,1,female div/dep/mar,none,4,life insurance,47.68939832889048,none,own,2,unskilled resident,1,none,yes,good,1
<0,10,critical/other existing credit,new car,2241,<100,<1,1,female div/dep/mar,none,3,real estate,47.68939832889048,none,rent,2,unskilled resident,2,none,no,good,1
0<=X<200,36,existing paid,education,12612,100<=X<500,1<=X<4,1,female div/dep/mar,none,4,no known property,47.68939832889048,none,for free,1,unskilled resident,2,yes,yes,bad,1
no checking,48,critical/other existing credit,radio/tv,3578,no known savings,>=7,4,female div/dep/mar,none,1,real estate,47.68939832889048,none,own,1,unskilled resident,1,yes,yes,good,1
no checking,27,existing paid,repairs,5190,no known savings,>=7,4,female div/dep/mar,none,4,life insurance,47.68939832889048,none,own,4,unskilled resident,2,yes,yes,good,1
>=200,30,critical/other existing credit,radio/tv,3017,<100,>=7,4,female div/dep/mar,none,4,life insurance,47.68939832889048,none,own,1,unskilled resident,1,none,yes,good,1
no checking,18,existing paid,furniture/equipment,3422,<100,>=7,4,female div/dep/mar,none,4,life insurance,47.68939832889048,bank,own,3,unskilled resident,2,yes,yes,good,1
no checking,15,existing paid,radio/tv,1213,500<=X<1000,>=7,4,female div/dep/mar,none,3,life insurance,47.68939832889048,stores,own,1,unskilled resident,1,yes,yes,good,1
no checking,24,delayed previously,new car,2538,<100,>=7,4,female div/dep/mar,none,4,car,47.68939832889048,none,own,2,unskilled resident,2,none,yes,bad,1
no checking,24,existing paid,used car,9277,no known savings,1<=X<4,2,female div/dep/mar,none,4,no known property,47.68939832889048,none,for free,1,unskilled resident,1,yes,yes,good,1
0<=X<200,18,critical/other existing credit,radio/tv,1795,<100,>=7,3,female div/dep/mar,guarantor,4,real estate,47.68939832889048,bank,rent,2,unskilled resident,1,yes,yes,good,1
no checking,60,critical/other existing credit,new car,13756,no known savings,>=7,2,male mar/wid,none,4,no known property,59.657098999472154,bank,for free,1,skilled,1,yes,yes,good,8
no checking,24,critical/other existing credit,new car,1940,>=1000,>=7,4,male mar/wid,none,4,real estate,59.657098999472154,none,own,1,skilled,1,yes,yes,good,8
<0,9,existing paid,radio/tv,1364,<100,4<=X<7,3,male mar/wid,none,4,real estate,59.657098999472154,none,own,1,skilled,1,none,yes,good,8
0<=X<200,16,critical/other existing credit,new car,1175,<100,unemployed,2,male mar/wid,none,3,car,59.657098999472154,none,for free,3,skilled,1,yes,yes,good,8
no checking,12,critical/other existing credit,radio/tv,930,no known savings,>=7,4,male mar/wid,none,4,real estate,59.657098999472154,none,own,4,skilled,1,none,yes,good,8
<0,12,critical/other existing credit,used car,1526,<100,>=7,4,male mar/wid,none,4,no known property,59.657098999472154,none,for free,2,skilled,1,none,yes,good,8
<0,24,critical/other existing credit,used car,6615,<100,unemployed,2,male mar/wid,none,4,no known property,59.657098999472154,none,for free,2,skilled,1,yes,yes,good,8
0<=X<200,6,existing paid,radio/tv,753,<100,1<=X<4,2,male mar/wid,guarantor,3,real estate,59.657098999472154,none,own,1,skilled,1,none,yes,good,8
<0,60,delayed previously,business,6836,<100,>=7,3,male mar/wid,none,4,no known property,59.657098999472154,none,own,2,skilled,1,yes,yes,bad,8
<0,18,existing paid,radio/tv,2600,<100,1<=X<4,4,male mar/wid,none,4,no known property,59.657098999472154,none,for free,2,skilled,1,none,yes,bad,8
>=200,30,delayed previously,business,1908,<100,>=7,4,male mar/wid,none,4,real estate,59.657098999472154,none,own,1,skilled,1,yes,yes,bad,8
0<=X<200,12,existing paid,radio/tv,766,500<=X<1000,1<=X<4,4,male mar/wid,none,3,real estate,59.657098999472154,none,own,1,skilled,1,none,yes,bad,8
<0,6,existing paid,new car,1374,no known savings,unemployed,4,male mar/wid,none,3,life insurance,59.657098999472154,none,own,1,skilled,1,yes,yes,good,8
